text;label
Депрессия или кризис среднего возраста;депрессия
Депрессия. Как бороться без психолога?;депрессия
у меня депрессия, что делать?! и дома все насточертело и на работе! отпуск только в августе- как дожить?!;депрессия
Помогите советом. Депрессия давно. Откладываю лечение, думала пройдет. Но не проходит, несколько лет тянется. Хочу попробовать медикаментозное лечение антидепрессантами. Лекарство продают только по рецепту. Куда идти за рецептом? Посмотрела сколько стоит консультации психотерапевтов. Не советуйте мне к ним идти! У меня нет 2000 на первичную консультацию, а их сколько еще назначат! Да и не верю я им, это просто вытягивание денег! Так что же мне делать!!!??? Помогите советом, мне очень плохо! Куда идти, к кому обратиться!?;депрессия
Последние 2 года у меня жуткая депрессия.Я стала очень нервной и замкнутой стала все больше и больше уходить в себя.А теперь я просто стала избегать общения с людьми,стала их бояться.Я не могу с ними общаться у меня нет темы для разговора + у меня апатия ко всему, я стала устраивать истерики,у меня постоянные перепады настроения,мне все время плохо,грустно и почти никогда не бывает весело .Мне 19 лет. = ));депрессия
У моей сводной сестры (ей 33-ий год)- большая проблема.Сразу скажу, что живем мы не в Москве и привезти ее к врачу на консультацию очно не смогли бы.Местный психотерапевт ставит невроз и все на этом.Все это длится с 95 года , предлагаемое лечение не помогает вообще.А суть проблемы в следующем.У сестры периодами накатывает депрессия.Сама она описывает это состояние как внезапную беспричинную тоску. При этом нападает жуткий аппетит (ей все время что-то надо жевать или сосать), сильное слюнооотделение, а тело(с ее слов) как бы разрывает изнутри.Повторяется это периодически. Если она месяц совершенно нормальная, в следующем как бы все наверстывается.При этом никаких физических жалоб не предъявляет(головных болей и т.п.). Все осознает, память прекрасная, аппетит превосходный, давление в норме.Проходила обследование у терапевта, эндокринолога, гинеколога, невропатолога- все в норме.При этом она сама очень страдает. Говорит, что сама не понимает, почему так и не связывает это с какими-либо жизненными переживаниями.Это состояние причиняет ей огромные страдания.Кто с подобным сталкивался, помогите,подскажите, что это такое, что нам делать?;депрессия
Последсвия депрессии, у кого какие?;депрессия
Господи,помогите я в пала в такую депрессию...не поддерживают не парень,не подруги,...да даже не звонят спросить как дела.....и так.далее.а парень,то занят,то ещё что то .начинаю ему говорить...психует..что делать,я не могу!!!!!;депрессия
Подскажите что делать,я уже не могу.....депрессия сьедает,..нет подруг у мня кому я скажу,а парень постоянно с друзьями. хочу поговорить с ним..он либо бросает трубу,либо не берет.не могу,не могу уже!плачу,а так хочется от него тепла и поддержки;депрессия
Здравствуйте. После того, как меня предали, я просто перестала конролировать свои эмоции. Сначала был сильный стресс, а теперь не понимаю, что со мной проиходит. Могу плакать 2 часа без перерыва и не понимать причины, прям в школе, никак успокоится не могу, как по щелчку становится плохо, грустно, чувствую себя опустошенной. Мне 16 и я знакома со всем этим подростковым, но у меня нет такого, что я грущу из-за того, что нет друзей и тп. Это происходит беспричинно, уже 2 месяца такое происходит, то хорошо себя чувствую, то какая-то депрессия и с каждым разом она все хуже и дольше, начинают в голову лезь дурные мысли. И причины особой нет, просто меняются состоянии переодически. А когда я подавлена, не могу ничего делать, абсолютно ничего, руки опускются, могу только в стенку смотреть. Стоит ли обращаться к психиатру?;депрессия
Здравствуйте! Я не знаю что мне делать. У меня депрессия. Каждый день становится хуже. Я не могу абсолютно ничего делать. Ни к чему нет интереса, абсолютно потеряла жизненный смысл. Да, мне тяжело писать. Случаются истерики. Меня с этой проблемой никто не может поддержать. Ранее я наблюдалась в одном бюджетном учреждении, для детей и подростков, из-за булимии, теперь.. Я не знаю куда пойти. Подскажите куда можно обратиться! Ведь..у меня совсем нет ни денег, ни сил.;депрессия
Можно ли самой вылечить депрессию?.Состояние длится давно.Апатия и подавоенность.Нехватка сил и энергии.Срывы.;депрессия
Девчонки, как выйти из депрессии. Рассталась с мужем и так на душе плохо. .. прям не могу, просто уже привыкла к нему не смотря на то что он ***. Одни советуют найти мужчину, чтоб отвлечься. Так где же их искать, кругом посмотришь прям ужас бррррр. .. посоветуйте, может я не в тех местах хожу))));депрессия
Недели 3 стабильно плохое настроение, нет сил ни на что, даже забила на уход за собой, только базовые вещи. Могу даже на улице заплакать, без причины. Мне говорят, что у меня депрессия. Я же ругаю себя за лень и бессилие. Парня и подруг завести не советуйте, есть. Как перестать лениться? Уже не говорю про мотивацию, к чёрту ее;депрессия
Здравствуйте, возможно ли справиться депрессией самостоятельно? Может кто-то знает способы? Беседы друзьями или родственниками не помогают;депрессия
У кого была депрессия? Как боролись с ней?;депрессия
"Ужасная депрессия, мне 30 лет , не замужем, детей нет, развелась 5 лет назад; недавно влюбилась и снова разочаровалась; теперь просыпаться не хочется";депрессия
